site,path,status,exit_code,http_code,final_url,redirects,error,statuses,locations
ofmedemblik.nl,/wp-admin/,WP_ADMIN_REDIRECT,0,200,https://www.ofmedemblik.nl/wp-login.php?redirect_to=https%3A%2F%2Fofmedemblik.nl%2Fwp-admin%2F%3Fdoing_wp_cron%3D1783667873.8143908977508544921875&reauth=1,3,,301 > 302 > 302 > 200,https://ofmedemblik.nl/wp-admin/ | /wp-admin/?doing_wp_cron=1783667873.8143908977508544921875 | https://www.ofmedemblik.nl/wp-login.php?redirect_to=https%3A%2F%2Fofmedemblik.nl%2Fwp-admin%2F%3Fdoing_wp_cron%3D1783667873.8143908977508544921875&reauth=1
ondernemersfondsmedemblik.nl,/st-beheer/,OK,0,200,https://ondernemersfondsmedemblik.nl/st-beheer/,1,,301 > 200,https://ondernemersfondsmedemblik.nl/st-beheer/
ondernemersfondsmedemblik.nl,/wp-admin/,OK_BLOCKED,0,403,https://ondernemersfondsmedemblik.nl/wp-admin/,1,,301 > 403,https://ondernemersfondsmedemblik.nl/wp-admin/
overinzicht.nl,/st-beheer/,BAD_WP_ADMIN,0,200,https://overinzicht.nl/wp-login.php?redirect_to=https%3A%2F%2Foverinzicht.nl%2Fwp-admin%2F&reauth=1,5,,301 > 301 > 301 > 301 > 302 > 200,https://overinzicht.nl/st-beheer/ | /wp-admin | http://overinzicht.nl/wp-admin/ | https://overinzicht.nl/wp-admin/ | https://overinzicht.nl/wp-login.php?redirect_to=https%3A%2F%2Foverinzicht.nl%2Fwp-admin%2F&reauth=1
overinzicht.nl,/wp-admin/,WP_ADMIN_REDIRECT,0,200,https://overinzicht.nl/wp-login.php?redirect_to=https%3A%2F%2Foverinzicht.nl%2Fwp-admin%2F&reauth=1,2,,301 > 302 > 200,https://overinzicht.nl/wp-admin/ | https://overinzicht.nl/wp-login.php?redirect_to=https%3A%2F%2Foverinzicht.nl%2Fwp-admin%2F&reauth=1
pgenkhuizen.nl,/st-beheer/,CHECK,0,404,https://www.pgenkhuizen.nl/st-beheer/,2,,301 > 301 > 404,https://pgenkhuizen.nl/st-beheer/ | https://www.pgenkhuizen.nl/st-beheer/
pgenkhuizen.nl,/wp-admin/,WP_ADMIN_REDIRECT,0,200,https://www.pgenkhuizen.nl/wp-login.php?redirect_to=https%3A%2F%2Fpgenkhuizen.nl%2Fwp-admin%2F&reauth=1,2,,301 > 302 > 200,https://pgenkhuizen.nl/wp-admin/ | https://www.pgenkhuizen.nl/wp-login.php?redirect_to=https%3A%2F%2Fpgenkhuizen.nl%2Fwp-admin%2F&reauth=1
pknhoornzwaagblokker.nl,/st-beheer/,OK,0,200,https://pknhoornzwaagblokker.nl/st-beheer/,1,,301 > 200,https://pknhoornzwaagblokker.nl/st-beheer/
pknhoornzwaagblokker.nl,/wp-admin/,OK_BLOCKED,0,403,https://pknhoornzwaagblokker.nl/wp-admin/,1,,301 > 403,https://pknhoornzwaagblokker.nl/wp-admin/
postkrediet.nl,/st-beheer/,OK,0,200,https://postkrediet.nl/st-beheer/,1,,301 > 200,https://postkrediet.nl/st-beheer/
